delta_y,action,action_x,action_y,action_z,obj_dx,obj_dy,obj_rot_change_deg,contact_steps,goal_progress,missed,fell
-0.04,small_forward,0.5,0.0,0.0,0.01106992680705221,-0.007420280265507451,5.613331525414969,2,0.005402547497708132,False,False
-0.04,medium_forward,1.0,0.0,0.0,0.039877548931288365,-0.023913364982751983,10.213891976124414,0,0.01207150391427958,False,False
-0.04,forward_neg_y,0.5,-0.5,0.0,0.0504002082115278,-0.03898865115120642,6.914413768081089,2,0.002258733960249823,False,False
-0.04,forward_pos_y,0.5,0.5,0.0,0.0028214749569801523,0.0015358464412943418,5.796716993127795,0,0.0032121602167847346,False,False
-0.02,small_forward,0.5,0.0,0.0,0.05137265491237586,-0.0016173455241486057,2.252842727226317,3,0.0455939961945327,False,False
-0.02,medium_forward,1.0,0.0,0.0,0.09510225511587889,-0.00980247649589061,18.27916317333012,3,0.041640147284349116,False,False
-0.02,forward_neg_y,0.5,-0.5,0.0,0.052553339231702356,-0.03620963522093357,2.1873736930429293,3,0.017095039184349646,False,False
-0.02,forward_pos_y,0.5,0.5,0.0,0.03624187286351255,0.02120066279211108,32.04844469967742,3,0.03884217961197009,False,False
0.0,small_forward,0.5,0.0,0.0,0.05195301940118746,-0.0021787030742147495,3.0340253936302277,3,0.0518492687321801,False,False
0.0,medium_forward,1.0,0.0,0.0,0.10082686334214719,0.0003311155857854686,2.6100663470385936,3,0.04915420490816697,False,False
0.0,forward_neg_y,0.5,-0.5,0.0,0.05088228594083022,-0.026216203419813344,23.866315947512447,3,0.039374866494346294,False,False
0.0,forward_pos_y,0.5,0.5,0.0,0.04953969256959745,0.022708013341164013,27.08606688708922,3,0.04088258417901125,False,False
0.02,small_forward,0.5,0.0,0.0,0.050754255098730994,0.00039353941886599575,2.0512630408485673,3,0.04593295857076298,False,False
0.02,medium_forward,1.0,0.0,0.0,0.09997448764379024,0.001738128168561337,10.786292528189113,3,0.04446817219883224,False,False
0.02,forward_neg_y,0.5,-0.5,0.0,0.03419281869292434,-0.018929322651671243,34.063597526920304,3,0.03679480756367119,False,False
0.02,forward_pos_y,0.5,0.5,0.0,0.05346942397513854,0.03683095355822641,3.24712124171555,3,0.016848119939614277,False,False
0.04,small_forward,0.5,0.0,0.0,0.014181324390588168,0.007616834220668278,8.239425443572811,2,0.007758242145543617,False,False
0.04,medium_forward,1.0,0.0,0.0,0.03663497779171587,0.019089170955594925,14.056968705968455,2,0.014543704354459258,False,False
0.04,forward_neg_y,0.5,-0.5,0.0,0.0028289228554627677,-0.0014754916940981078,4.764638904147715,0,0.0031903217622634844,False,False
0.04,forward_pos_y,0.5,0.5,0.0,0.05039744811519542,0.039002342902778375,6.892041857330759,2,0.0022448744617555583,False,False
